cp4,barrio,comuna,peso,pct
1001,RETIRO,1,47.6,72.65
1001,SAN NICOLAS,1,11.9,18.24
1001,RECOLETA,2,6.0,9.12
1002,SAN NICOLAS,1,15.8,72.73
1002,MONSERRAT,1,5.9,27.27
1003,SAN NICOLAS,1,35.7,78.3
1003,RETIRO,1,9.9,21.7
1004,SAN NICOLAS,1,15.8,53.34
1004,RETIRO,1,13.9,46.66
1005,SAN NICOLAS,1,17.8,69.22
1005,RETIRO,1,7.9,30.78
1006,RETIRO,1,10.9,52.4
1006,SAN NICOLAS,1,9.9,47.6
1007,RETIRO,1,13.9,63.64
1007,SAN NICOLAS,1,7.9,36.36
1008,SAN NICOLAS,1,15.8,61.54
1008,RETIRO,1,9.9,38.46
1009,SAN NICOLAS,1,23.7,70.55
1009,RETIRO,1,9.9,29.45
1010,SAN NICOLAS,1,19.8,52.66
1010,RETIRO,1,17.8,47.34
1011,RETIRO,1,19.8,83.33
1011,RECOLETA,2,4.0,16.67
1012,SAN NICOLAS,1,17.8,64.29
1012,RETIRO,1,9.9,35.71
1013,SAN NICOLAS,1,15.8,66.67
1013,RETIRO,1,7.9,33.33
1014,RETIRO,1,11.9,75.0
1014,RECOLETA,2,4.0,25.0
1015,SAN NICOLAS,1,15.8,80.0
1015,RECOLETA,2,2.0,10.0
1015,RETIRO,1,2.0,10.0
1016,RETIRO,1,15.8,66.64
1016,RECOLETA,2,7.9,33.36
1017,SAN NICOLAS,1,15.8,80.0
1017,RECOLETA,2,4.0,20.0
1018,RECOLETA,2,21.8,100.0
1019,SAN NICOLAS,1,17.8,69.23
1019,RECOLETA,2,7.9,30.77
1020,SAN NICOLAS,1,2.0,50.0
1020,RECOLETA,2,2.0,50.0
1021,RECOLETA,2,4.0,50.0
1021,RETIRO,1,4.0,50.0
1022,BALVANERA,3,6.9,50.0
1022,SAN NICOLAS,1,6.9,50.0
1023,RECOLETA,2,11.9,85.71
1023,BALVANERA,3,1.0,7.14
1023,SAN NICOLAS,1,1.0,7.14
1024,RECOLETA,2,15.8,100.0
1025,BALVANERA,3,23.8,100.0
1026,BALVANERA,3,23.8,100.0
1028,BALVANERA,3,15.8,100.0
1030,BALVANERA,3,17.8,100.0
1031,BALVANERA,3,23.8,100.0
1032,BALVANERA,3,5.9,100.0
1034,SAN NICOLAS,1,0.0,100.0
1035,SAN NICOLAS,1,9.9,100.0
1042,SAN NICOLAS,1,7.9,100.0
1043,SAN NICOLAS,1,31.7,99.69
1043,SAN TELMO,1,0.0,0.1
1043,PUERTO MADERO,1,0.0,0.1
1043,LA BOCA,4,0.0,0.1
1045,BALVANERA,3,9.8,100.0
1046,BALVANERA,3,15.9,100.0
1047,SAN NICOLAS,1,19.8,100.0
1048,SAN NICOLAS,1,23.7,100.0
1049,SAN NICOLAS,1,29.7,100.0
1050,SAN NICOLAS,1,11.9,59.96
1050,BALVANERA,3,7.9,40.04
1051,BALVANERA,3,15.8,100.0
1052,BALVANERA,3,13.9,100.0
1054,RETIRO,1,13.9,58.33
1054,SAN NICOLAS,1,9.9,41.67
1055,SAN NICOLAS,1,9.9,50.0
1055,RETIRO,1,4.9,25.0
1055,RECOLETA,2,4.9,25.0
1056,BALVANERA,3,5.9,100.0
1057,RETIRO,1,25.7,100.0
1059,RETIRO,1,23.7,100.0
1060,RECOLETA,2,7.9,100.0
1061,RETIRO,1,19.8,58.78
1061,RECOLETA,2,13.9,41.16
1061,COLEGIALES,13,0.0,0.06
1062,RETIRO,1,19.8,55.6
1062,RECOLETA,2,15.8,44.4
1063,SAN TELMO,1,38.7,51.29
1063,MONSERRAT,1,29.8,39.57
1063,LA BOCA,4,5.9,7.83
1063,PUERTO MADERO,1,1.0,1.3
1064,SAN TELMO,1,31.5,63.9
1064,MONSERRAT,1,15.8,32.09
1064,VILLA ORTUZAR,15,2.0,4.01
1065,SAN TELMO,1,17.6,59.7
1065,MONSERRAT,1,11.9,40.3
1066,MONSERRAT,1,17.9,64.35
1066,SAN TELMO,1,9.9,35.65
1067,MONSERRAT,1,11.9,100.0
1068,SAN TELMO,1,9.9,71.43
1068,MONSERRAT,1,4.0,28.57
