cp4,barrio,comuna,confianza_pct,n_segmentos,n_barrios_zona,fuente
1000,SAN NICOLAS,1,,0,1,Override manual (sin calles en CPA)
1001,RETIRO,1,82.3,42,2,GCBA+Correo Argentino
1002,SAN NICOLAS,1,72.7,22,2,GCBA+Correo Argentino
1003,SAN NICOLAS,1,61.5,26,2,GCBA+Correo Argentino
1004,SAN NICOLAS,1,53.3,30,2,GCBA+Correo Argentino (AMBIGUO)
1005,SAN NICOLAS,1,69.2,26,2,GCBA+Correo Argentino
1006,RETIRO,1,52.4,21,2,GCBA+Correo Argentino (AMBIGUO)
1007,RETIRO,1,63.6,22,2,GCBA+Correo Argentino
1008,SAN NICOLAS,1,61.5,26,2,GCBA+Correo Argentino
1009,SAN NICOLAS,1,70.6,34,2,GCBA+Correo Argentino
1010,SAN NICOLAS,1,52.7,38,2,GCBA+Correo Argentino (AMBIGUO)
1011,RETIRO,1,83.3,24,2,GCBA+Correo Argentino
1012,SAN NICOLAS,1,64.3,28,2,GCBA+Correo Argentino
1013,SAN NICOLAS,1,66.7,24,2,GCBA+Correo Argentino
1014,RETIRO,1,75.0,16,2,GCBA+Correo Argentino
1015,SAN NICOLAS,1,80.0,20,3,GCBA+Correo Argentino
1016,RETIRO,1,66.6,24,2,GCBA+Correo Argentino
1017,SAN NICOLAS,1,80.0,20,2,GCBA+Correo Argentino
1018,RECOLETA,2,100.0,22,1,GCBA+Correo Argentino
1019,SAN NICOLAS,1,69.2,26,2,GCBA+Correo Argentino
1020,SAN NICOLAS,1,50.0,4,2,GCBA+Correo Argentino (AMBIGUO)
1021,RECOLETA,2,50.0,8,2,GCBA+Correo Argentino (AMBIGUO)
1022,BALVANERA,3,50.0,14,2,GCBA+Correo Argentino (AMBIGUO)
1023,RECOLETA,2,85.7,14,3,GCBA+Correo Argentino
1024,RECOLETA,2,100.0,16,1,GCBA+Correo Argentino
1025,BALVANERA,3,100.0,24,1,GCBA+Correo Argentino
1026,BALVANERA,3,100.0,24,1,GCBA+Correo Argentino
1030,BALVANERA,3,100.0,18,1,GCBA+Correo Argentino
